procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
19558.87,1,63.0,317.0,186911100.0,1,2,2012,4
4408.62,1,38.0,330.0,47454000.0,1,2,2012,4
257.78,2,4.0,352.0,1850000.0,1,2,2012,4
594.58,1,63.0,328.0,1550000.0,1,2,2012,4
45.0,3,60.0,343.0,200000.0,1,2,2012,1
418.06,1,63.0,303.0,2925000.0,1,2,2012,2
138.33,3,60.0,351.0,1150000.0,1,2,2012,3
1858.06,1,65.0,395.0,3600000.0,1,1,2012,6
3716.12,1,63.0,370.0,16000000.0,1,2,2012,5
4329.93,1,63.0,409.0,5359575.0,1,2,2012,5
193.42,3,60.0,390.0,1500000.0,1,2,2012,5
576.0,1,63.0,304.0,4500000.0,1,2,2012,5
82.4,3,60.0,390.0,750000.0,1,2,2012,5
255.08,2,4.0,434.0,1600000.0,1,2,2012,5
1393.55,1,63.0,369.0,3300000.0,1,2,2012,5
1393.55,1,63.0,264.0,3000000.0,1,2,2012,5
5764.07,1,63.0,317.0,49635200.0,1,2,2012,5
1394.0,1,38.0,297.0,3300000.0,1,2,2012,5
3975.78,1,38.0,330.0,29956500.0,1,2,2012,5
66.88,3,60.0,330.0,700000.0,1,2,2012,5
406.07,3,60.0,330.0,2600000.0,1,2,2012,4
1227.06,1,63.0,434.0,5500000.0,1,2,2012,4
692.31,1,63.0,232.0,2900000.0,1,2,2012,10
1260.32,1,63.0,303.0,8625000.0,1,2,2012,10
56613.97,1,65.0,395.0,103595960.0,1,1,2012,10
1277.69,1,63.0,311.0,1994040.0,1,2,2012,6
929.03,1,63.0,370.0,9500000.0,1,2,2012,6
2014.88,1,63.0,300.0,2800000.0,1,2,2012,6
86.12,3,60.0,390.0,1500000.0,1,2,2012,6
831.0,1,63.0,233.0,11000000.0,1,2,2012,6
1383.67,1,63.0,445.0,17000000.0,1,2,2012,6
14827.32,1,63.0,304.0,55860000.0,1,2,2012,6
232.26,1,63.0,276.0,925000.0,1,2,2012,1
2787.71,1,28.0,462.0,2700617.0,1,3,2012,2
110.43,3,60.0,330.0,1022540.0,1,2,2012,2
